Account Name,اسم حساب
Created PM Issue Log {0},تاريخ الإنشاء م مشكلة السجل {0}
Created Restaurant Order {0},تاريخ الإنشاء المطاعم أمر {0}
Created Service Ticket {0},Created Service Ticket {0}
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Custom Documents,المستندات المخصصة
Customer,العميل
Customer Profile and Sales Representative are required for van sales.,Customer Profile and Sales Representative are required for van sales.
Customer Service,العميل خدمة
Dashboard,لوحة معلومات
DeepSeek,Deep Seek
Default,افتراضي
Default Agent,افتراضي وكيل
Default for Route,افتراضي لـ مسار
Default Provider,افتراضي المزود
Default Route Target,افتراضي مسار هدف
Default Routing Strategy,افتراضي توجيه استراتيجية
Delete,حذف
Description,الوصف
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Desk,المكتب
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Documents & Integration,المستندات والتكامل
DRAFT,مسودة
E-Invoice,الفاتورة الإلكترونية
EasyOCR,Easy OCR
Edit,تعديل
Education,التعليم
Email,البريد الإلكتروني
Embedding Model,Embedding Model
Enable OCR,Enable OCR
Enable RAG / Vector Search,تفعيل RAG / البحث المتجه
Enable Voice AI,Enable Voice AI
Enabled,مفعّل
Endpoint URL,نقطة نهاية URL
Engineering Consulting,الاستشارات الهندسية
Erpgenex Property Mgmt,إدارة العقارات
Erpgenex Realestate Dev,التطوير العقاري
Erpgenex Realestate Sales,التسويق العقاري
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
ERPGENEX — Dashboard,ERPGENEX — لوحة المعلومات
Error,خطأ
Escalated,Escalated
Escalation Email,Escalation Email
Escalation Rule,قاعدة تصعيد الإيجار
Event,حدث
Executive Dashboard,لوحة المدير التنفيذية
Explore this workspace,استكشف مساحة العمل
Facebook Messenger,Facebook Messenger
Factoring,التخصيم
Field PWA,تطبيق الميدان
file_url is required,ملف رابط مطلوب
Filters,المرشحات
Filters Applied,الفلاتر المطبقة
Finance,مالية
Finance Control Exceptions,استثناءات الضوابط المالية
Finance Control Violations,مخالفات الضوابط المالية
Finance Controls,الضوابط المالية
Finance Engine,محرك التمويل
Finance Group,المجموعة المالية
Finance SoD Blocks,حظر فصل المهام (SoD)
Finance Workcenter,مركز عمل المالية
Fixed Assets,الأصول الثابتة
For Ollama: models are auto-discovered when URL is set,For Ollama: models are auto-discovered when URL is set
Form,نموذج
Further,المزيد
Gemini,Gemini
General Ledger,دفتر الأستاذ العام
Generated at,أُنشئ في
Generated by,أُنشئ بواسطة
Get started with AI Agent,ابدأ بـ AI وكيل
Get started with AI Conversation,Get started with AI Conversation
Get started with AI Provider,ابدأ بـ AI المزود
GL Account,حساب GL
Global Defaults,الإعدادات العامة
Governance,الحوكمة
Governance Overview,نظرة عامة على الحوكمة
Guest,زائر
Handover & defects (snagging),التسليم والعيوب
Handover Package,حزمة التسليم
Healthcare,الرعاية الصحية
Healthcare Appointment DocType not available.,Healthcare Appointment Doc Type not available.
Help,مساعدة
Home,الرئيسية
Host,مضيف
HR,الموارد البشرية
HR Expense Claim DocType not available.,HR Expense Claim Doc Type not available.
HR Leave Application DocType not available.,HR Leave Application Doc Type not available.
Hybrid,Hybrid
IFRS 16 Liability,التزام الإيجار IFRS 16
In Progress,قيد التنفيذ
Industry Solutions,حلول القطاعات
Insights,رؤى وتحليلات
Instagram,Instagram
Inventory & development context,المخزون وسياق التطوير
Inventory KPI Dashboard,لوحة مؤشرات المخزون
Inventory KPIs,مؤشرات المخزون
Inventory Low Stock Items,أصناف منخفضة المخزون
Inventory Reorder Needed,أصناف تحتاج إعادة طلب
Inventory Stock Items,أصناف المخزون
Item,الصنف
Journal Entry,قيد يومية
Jump to the **AI Workcenter** page.,انتقل إلى صفحة **AI مركز العمل**.
Kimi,Kimi
Land & project charter,الأرض وميثاق المشروع
Land Parcel,قطعة أرض
Language,اللغة
Languages,Languages
Last Activity,آخر النشاط
Last Month,الشهر الماضي
Last Provider,آخر المزود
Last Week,الأسبوع الماضي
Lead acquisition & qualification,اكتساب العملاء وتأهيلهم
Leasing & occupancy (IFRS 16 / IPSAS rent),التأجير والإشغال (IFRS 16 / IPSAS)
Leasing Finance,التمويل التأجيري
Leasing Mandate,تفويض تأجير
Legal,القانون
List,قائمة
LM Studio,LM Studio
Local,محلي
Local Only,محلي فقط
Local or remote Ollama API (e.g. http://192.168.1.2:11434),Local or remote Ollama API (e.g. http://192.168.1.2:11434)
Login,تسجيل الدخول
Logout,تسجيل الخروج
Maintenance — service requests,الصيانة — طلبات الخدمة
Management Agreement,اتفاقية إدارة
Manufacturing,التصنيع
Match Keywords (comma-separated),Match Keywords (comma-separated)
Max Tokens,Max Tokens
Menu,القائمة
Meta Cloud API phone_number_id,Meta Cloud API phone_number_id
Meta JSON,Meta JSON
Model,نموذج
Model discovery not implemented for {0},Model discovery not implemented for {0}
Modified,تاريخ التعديل
Mortgage Finance,التمويل العقاري
My work,عملي
Name,الاسم
New,جديد
No AI provider configured for route {0}. Add an AI Provider record.,لا AI مزود مُعدّ لـ مسار {0}. إضافة an AI المزود سجل.
No Employee found for expense claim.,لا الموظف وُجد لـ مصروف مطالبة.
No Employee found for leave application.,لا الموظف وُجد لـ إجازة طلب.
No enabled WhatsApp channel account configured.,No enabled Whats App channel account configured.
No Item found for document line.,لا الصنف وُجد لـ مستند خط.
No OCR provider configured. Create AI OCR Provider.,No OCR provider configured. Create AI OCR Provider.
No Project Contract found for PM Issue Log.,لا مشروع عقد وُجد لـ م مشكلة السجل.
No support ticket DocType available or missing Customer Profile.,No support ticket Doc Type available or missing Customer Profile.
None,لا شيء
Notifications,الإشعارات
Number Card,بطاقة رقمية
Occupancy,الإشغال
OCR Engine,OCR Engine
OCR provider {0} registered. Wire engine SDK in deployment.,OCR provider {0} registered. Wire engine SDK in deployment.
Ollama,Ollama
Ollama Base URL,Ollama Base URL
Ollama Default Model,Ollama Default Model
Omnexa Accounting Settings,إعدادات محاسبة Omnexa
Omnexa AI Employee Document Summary,Omnexa AI الموظف المستند ملخص
Omnexa Marketplace Settings,إعدادات سوق Omnexa
Omnexa Purchase Settings,إعدادات مشتريات Omnexa
Omnexa Sales Settings,إعدادات مبيعات Omnexa
Omnexa Settings,إعدادات Omnexa
Omnexa Stock Settings,إعدادات مخزون Omnexa
Open,مفتوح
Open AI Workcenter,فتح AI مركز العمل
Open report Compliance Exceptions Dashboard,فتح تقرير لوحة استثناءات الامتثال
Open WebUI,Open Web UI
OpenAI,فتح AI
Operating Scenarios,سيناريوهات التشغيل
Operational Risk,المخاطر التشغيلية
Operations,عمليات
Other,أخرى
Overdue,متأخر
Owner reporting & trust accounting,تقارير الملاك والحسابات الائتمانية
Owner Statement,كشف حساب المالك
PaddleOCR,Paddle OCR
Page,صفحة
Payment Entry,سند قبض/صرف
Payment Plan Item,بند خطة السداد
PENDING,قيد الانتظار
Pending,قيد الانتظار
PENDING_APPROVAL,قيد الموافقة
Permit Milestone,معلم التصريح
Phone / Handle,Phone / Handle
Platform & Administration,المنصة والإدارة
PM Issue Log DocType not available.,PM Issue Log Doc Type not available.
PMC Lease Liability Schedule,جدول التزام الإيجار IFRS 16
PMC Leasing Mandate,تفويض تأجير
PMC Management Agreement,اتفاقية إدارة
PMC Management Fee Summary,ملخص رسوم الإدارة
PMC Occupancy Summary,ملخص الإشغال
PMC Owner Statement,كشف حساب المالك
PMC Owner Statement Register,سجل كشوف الملاك
PMC Property,عقار
PMC Property Unit,وحدة عقارية
PMC Rent Aging,أعمار الإيجارات
PMC Rent Billing Register,سجل فوترة الإيجار
PMC Rent Roll,سجل الإيجارات
PMC Rental Contract Register,سجل عقود الإيجار
Populated automatically from the provider URL,Populated automatically from the provider URL
Port,المنفذ
Portfolio & asset registry,المحفظة وسجل الأصول
PostgreSQL pgvector,Postgre SQL pgvector
Priority,الأولوية
Profile,الملف الشخصي
Profit and Loss,الأرباح والخسائر
Project EV,القيمة المكتسبة للمشروع
Projects,مشاريع
Projects & Services,المشاريع والخدمات
Projects PM,إدارة المشاريع
Property,عقار
Property Management,إدارة العقارات
Property Sales Booking Register,سجل حجوزات البيع
Property Sales Lead,عميل مبيعات عقارية
Provider Name,اسم المزود
Provider Type,نوع المزود
Purchase Invoice,فاتورة شراء
Purchase Register,سجل المشتريات
Qdrant,Qdrant
RE BOQ,جدول كميات التطوير
RE Development,التطوير العقاري
RE Handover Package,حزمة التسليم
RE Marketing,التسويق العقاري
RE Permit Milestone,معلم التصريح
RE Project EV,القيمة المكتسبة للمشروع
RE Subcontract Commitment,التزام مقاول باطن
RE Unit Inventory,مخزون وحدات التطوير
RE unit inventory (sales),مخزون وحدات البيع
RE Unit Inventory Overview,نظرة عامة على مخزون الوحدات
Real Estate,العقارات
Refresh,تحديث
REJECTED,مرفوض
Reload,إعادة تحميل
Rent Aging,أعمار الإيجارات
Rent billing register,سجل فوترة الإيجار
Rent Billing Run,تشغيل فوترة الإيجار
Rent Roll,سجل الإيجارات
Rental Contract,عقد إيجار
Rental contract register,سجل عقود الإيجار
Report,تقرير
Reservation register,سجل الحجوزات
Reservations & unit holds,الحجوزات وحجز الوحدات
Restaurant,المطاعم
Restaurant Order DocType not available.,Restaurant Order Doc Type not available.
"Return here for shortcuts, charts, and lists for **AI Employee**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **AI الموظف**.
"Return here for shortcuts, charts, and lists for **Audit & Compliance**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **التدقيق والامتثال**.
"Return here for shortcuts, charts, and lists for **Core ERP**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **ERP الأساسي**.
Risk,مخاطر
Role,الدور
"Route Plan, Sales Representative, and Customer Profile are required for distribution orders.","Route Plan, Sales Representative, and Customer Profile are required for distribution orders."
Route Target,مسار هدف
Rule Code,رمز قاعدة
Run Ecosystem Audit on Migrate,Run Ecosystem Audit on Migrate
Sales,مبيعات
Sales Booking,حجز بيع
Sales booking register,سجل حجوزات البيع
Sales Commission Accrual,استحقاق عمولات المبيعات
Sales Commission Schedule,جدول عمولات المبيعات
Sales Invoice,فاتورة مبيعات
Sales Lead,عميل محتمل
Sales Portal,بوابة المبيعات
Sales Quotation DocType not available.,Sales Quotation Doc Type not available.
Sales Register,سجل المبيعات
Save,حفظ
Search or type a command,ابحث أو اكتب أمرًا
Search or type a command ({0}),ابحث أو اكتب أمرًا ({0})
Sell,المبيعات
Service Contract DocType not available.,Service Contract Doc Type not available.
Services,الخدمات
Set in Meta: /api/method/omnexa_ai_employee.api.whatsapp_webhook,Set in Meta: /api/method/omnexa_ai_employee.api.whatsapp_webhook
Settings,الإعدادات
Shortcut,اختصار
SME Microfinance,التمويل متناهي الصغر
SME Retail Finance,تمويل المنشآت والتجزئة
SMS,رسالة نصية
Status,الحالة
Stock,المخزون
Store Name,اسم مخزن
Store Type,نوع مخزن
Subcontract,مقاول باطن
Submit,إرسال
Supplier,المورد
Supporting Attachment,مرفق داعم
System,النظام
System Manager,مدير النظام
System Prompt,النظام مطالبة
Task List,قائمة المهام
Telegram,Telegram
Temperature,Temperature
Tenant (Customer),المستأجر (العميل)
Tesseract,Tesseract
This Month,هذا الشهر
This Week,هذا الأسبوع
Timeout (seconds),Timeout (seconds)
Timezone,المنطقة الزمنية
Title,العنوان
Today,اليوم
ToDo,مهمة
Tool,Tool
Top P,أعلى P
Total,الإجمالي
Tourism,السياحة
Trading,التجارة
Trading & Manufacturing,التجارة والتصنيع
Trading Distribution Order DocType not available.,Trading Distribution Order Doc Type not available.
Trading Van Sales Invoice DocType not available.,Trading Van Sales Invoice Doc Type not available.
Trial Balance,ميزان المراجعة
Unauthorized webhook call,Unauthorized webhook call
Unit,وحدة
Unit Inventory,مخزون الوحدات
Unit inventory & sales readiness,مخزون الوحدات وجاهزية البيع
Unit inventory overview,نظرة عامة على مخزون الوحدات
Unit Reservation,حجز وحدة
Unit Reservation Register,سجل حجز الوحدات
Unsupported provider type: {0},Unsupported provider type: {0}
Update,تحديث
Used when Ollama is reachable; auto-picked from installed models if missing,Used when Ollama is reachable; auto-picked from installed models if missing
User,مستخدم
Vehicle Finance,تمويل المركبات
Verify,تحقق
vLLM,v LLM
Voice,Voice
Warehouse,المستودع
Weaviate,Weaviate
Web Chat,Web Chat
Webhook URL,Webhook URL
Webhook Verify Token,Webhook Verify Token
WhatsApp,Whats App
WhatsApp Phone Number ID,WhatsApp الهاتف الرقم ID
Work Order DocType not available.,Work Order Doc Type not available.
Workflow State,حالة سير العمل
Workspace,مساحة العمل
Workspaces,مساحات العمل
Yesterday,أمس
You are ready to work in Core ERP.,أنت جاهز للعمل في ERP الأساسي.
✅ Handover,✅ التسليم
🎯 CRM,🎯 إدارة العملاء
🏗️ Projects,🏗️ المشاريع
🏢 Organization,🏢 التنظيم والإعداد
🏢 Organization & Setup,🏢 التنظيم والإعداد
🏢 Portfolio,🏢 المحفظة العقارية
👥 HR & Users,👥 الموارد البشرية والمستخدمون
💰 Billing · Finance · ERP,💰 الفوترة · المالية · ERP
💰 Commissions,💰 العمولات
💰 Finance & ERP,💰 المالية · ERP
💰 Owner & CAM,💰 المالك والمصاريف المشتركة
📈 Reports,📈 التقارير
📊 Analytics,📊 التحليلات
📊 Dashboards,📊 لوحات المعلومات
📊 Dashboards & Portals,📊 لوحات المعلومات والبوابات
📊 Dashboards & portals,📊 لوحات المعلومات والبوابات
📋 Commercial,📋 التجاري
📋 Leasing,📋 التأجير
📋 Operations,📋 العمليات
📐 BOQ & inventory,📐 جدول الكميات والمخزون
📦 Inventory & Supply,📦 المخزون والتوريد
🔗 Integration,🔗 التكامل
🚚 Field operations,🚚 العمليات الميدانية
🛡️ Compliance,🛡️ الامتثال
